CurrencyISO	Language	CurrencyName	Money	Symbol
GBP	IT	Sterlina britannica	Pound	£
FKP	IT	Sterlina delle Falkland	Pound	£
GIP	IT	Sterlina di Gibilterra	Pound	£
SHP	IT	Sterlina di Sant'Elena	Pound	£
SDG	IT	Sterlina sudanese	جنيه	£
BDT	IT	Taka bengalese	টাকা	৳
WST	IT	Tala samoano	Tālā	W
KZT	IT	Tenge kazako	Теңгесі	〒
MNT	IT	Tugrik mongolo	Төгрөг	₮
VUV	IT	Vatu di Vanuatu	Vatu	V
KPW	IT	Won nordcoreano	원	₩
KRW	IT	Won sudcoreano	원	₩
JPY	IT	Yen giapponese	日本円	¥
PLN	IT	Złoty polacco	Złoty	z
